review_id,review,product_category,rating,script_type
1,ಈ ಫೋನ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ! ಬ್ಯಾಟರಿ ಜೀವಿತಾವಧಿ ಬಹಳ ಒಳ್ಳೆಯದು ಮತ್ತು ಕ್ಯಾಮೆರಾ ಅದ್ಭುತವಾಗಿದೆ. ಬೆಲೆಗೆ ತಕ್ಕಂತೆ ಉತ್ತಮ ಉತ್ಪನ್ನ.,Electronics,5,Kannada Script
2,ಈ ಅಂಗಿ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ ಮತ್ತು ಬಟ್ಟೆಯ ಗುಣಮಟ್ಟ ಅತ್ಯುತ್ತಮ. ಬಣ್ಣ ಎಷ್ಟು ಸಲ ತೊಳೆದರೂ ಹೋಗಿಲ್ಲ. ತಪ್ಪದೇ ಕೊಳ್ಳಿ!,Clothing,5,Kannada Script
3,ಈ ಪ್ರೆಷರ್ ಕುಕ್ಕರ್ ಬಹಳ ಬೇಗ ಅಡುಗೆ ಮಾಡುತ್ತದೆ. ಸ್ಟೀಲ್ ಗುಣಮಟ್ಟ ಚೆನ್ನಾಗಿದೆ ಮತ್ತು ಸ್ವಚ್ಛ ಮಾಡಲು ಸುಲಭ. ಬೆಲೆಗೆ ತಕ್ಕಂತೆ ಬಹಳ ಒಳ್ಳೆಯ ಉತ್ಪನ್ನ.,Home & Kitchen,5,Kannada Script
4,ಈ ಪುಸ್ತಕ ಓದಲು ಬಹಳ ಆಸಕ್ತಿಕರವಾಗಿದೆ. ಲೇಖಕ ವಿಷಯವನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಮತ್ತು ಸರಳವಾಗಿ ವಿವರಿಸಿದ್ದಾರೆ. ಪ್ರತಿಯೊಬ್ಬರೂ ಓದಲೇಬೇಕಾದ ಪುಸ್ತಕ.,Books,5,Kannada Script
5,ಈ ಕ್ರಿಕೆಟ್ ಬ್ಯಾಟ್ ಬಹಳ ಒಳ್ಳೆಯದು! ಗ್ರಿಪ್ ಅದ್ಭುತ ಮತ್ತು ತೂಕ ಸರಿಯಾಗಿದೆ. ಮೊದಲ ಪಂದ್ಯದಲ್ಲೇ ಎರಡು ಸಿಕ್ಸರ್ ಹೊಡೆದೆ. ಅತ್ಯುತ್ತಮ ಆಯ್ಕೆ!,Sports,5,Kannada Script
6,ಈ ಟಿ.ವಿ. ಕಳಪೆ ಗುಣಮಟ್ಟದ್ದು. ಕೇವಲ ಒಂದು ತಿಂಗಳಲ್ಲಿ ಸ್ಕ್ರೀನ್ ಹಾಳಾಯಿತು. ಗ್ರಾಹಕ ಸೇವೆ ಕೂಡ ತುಂಬಾ ಕೆಟ್ಟದ್ದು. ಹಣ ವ್ಯರ್ಥ.,Electronics,1,Kannada Script
7,ಈ ಚಪ್ಪಲಿ ಕಳಪೆ ಗುಣಮಟ್ಟದ್ದು. ಒಂದೇ ವಾರದಲ್ಲಿ ಒಳಭಾಗ ಹರಿದುಹೋಯಿತು. ಇಷ್ಟು ಬೆಲೆ ಕೊಡಲು ಯೋಗ್ಯವಾಗಿರಲಿಲ್ಲ. ಬೇರೆ ಬ್ರಾಂಡ್ ನೋಡಿ.,Clothing,1,Kannada Script
8,ಈ ಮಿಕ್ಸರ್ ತುಂಬಾ ಗದ್ದಲ ಮಾಡುತ್ತದೆ ಮತ್ತು ಸರಿಯಾಗಿ ಮಿಶ್ರಣ ಮಾಡುವುದಿಲ್ಲ. ಮೋಟಾರ್ ಬಿಸಿಯಾಗುತ್ತದೆ. ತುಂಬಾ ನಿರಾಶಾದಾಯಕ ಖರೀದಿ.,Home & Kitchen,2,Kannada Script
9,ಈ ಕಾದಂಬರಿ ತುಂಬಾ ನಿರಾಶಾದಾಯಕ. ಕಥೆ ಹಳೆಯದು ಮತ್ತು ಅಂತ್ಯ ಸಂತೃಪ್ತಿಕರವಾಗಿರಲಿಲ್ಲ. ಹಣ ಮತ್ತು ಸಮಯ ವ್ಯರ್ಥ ಆಯಿತು.,Books,1,Kannada Script
10,ಈ ಫುಟ್‌ಬಾಲ್ ಒಂದೇ ಆಟದಲ್ಲಿ ಗಾಳಿ ತಪ್ಪಿಸಿಕೊಂಡಿತು. ಚರ್ಮ ಸ್ವಲ್ಪ ದಿನದಲ್ಲೇ ಸುಲಿಯಲು ಶುರು ಆಯಿತು. ಬಹಳ ಕಳಪೆ ಉತ್ಪನ್ನ.,Sports,1,Kannada Script
11,Ee phone thumba chennagide! Battery life bahala olledhu matte camera picture quality idu heege beku antidde. Belegge takkante tumba olledu.,Electronics,5,Romanized Kannada
12,Dress design chennagide aadre size chart sari illa. Medium tondide aadre tumba chikka bandu. Return process kuda kashta aitu.,Clothing,2,Romanized Kannada
13,Ee kuukker tumba bega andhava maaduttade. Stainless steel quality okkidhe matte clean maadalu sulabha. Full paisa vasool!,Home & Kitchen,5,Romanized Kannada
14,Ee earphones sound quality tumba kharaaba. Bass practically illave. Noise cancellation gelosa aagolla. Waste of money.,Electronics,1,Romanized Kannada
15,Product swalpa okay aitu. Price ge comparison maadidre better expect madidde aadre overall narasattavalla.,Home & Kitchen,3,Romanized Kannada
16,Excellent product! Works exactly as described. Delivery was fast and packaging was secure. Highly recommend to everyone!,Electronics,5,English
17,Good quality shirt. The fabric is soft and comfortable. Stitching is neat and the color has not faded after multiple washes.,Clothing,4,English
18,Very disappointed. Product stopped working after just two days. Build quality is extremely poor. Not worth the price at all.,Electronics,1,English
19,The book is poorly written with many grammar errors and factual mistakes. Completely misleading title. Total waste of money.,Books,1,English
20,Decent product for the price. Nothing extraordinary but gets the job done. Delivery was on time and packaging was adequate.,Sports,3,English
